date,season,yr,mnth,holiday,weekday,workingday,weather_condition,temp,humidity,windspeed,casual,total_users,year,month,is_weekend,holiday_or_weekend,casual_ratio
2011-01-01,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,985,2011,1,1,True,0.3360406091367147
2011-01-02,1,0,1,0,0,0,2,0.363478,0.696087,0.248539,131,801,2011,1,1,True,0.16354556803974588
2011-01-03,1,0,1,0,1,1,1,0.196364,0.437273,0.248309,120,1349,2011,1,0,False,0.08895478131942998
2011-01-04,1,0,1,0,2,1,1,0.2,0.590435,0.160296,108,1562,2011,1,0,False,0.06914212548010938
2011-01-05,1,0,1,0,3,1,1,0.226957,0.436957,0.1869,82,1600,2011,1,0,False,0.05124999999996797
2011-01-06,1,0,1,0,4,1,1,0.204348,0.518261,0.0895652,88,1606,2011,1,0,False,0.054794520547911084
2011-01-07,1,0,1,0,5,1,2,0.196522,0.498696,0.168726,148,1510,2011,1,0,False,0.09801324503304767
2011-01-08,1,0,1,0,6,0,2,0.165,0.535833,0.266804,68,959,2011,1,1,True,0.07090719499471229
2011-01-09,1,0,1,0,0,0,1,0.138333,0.434167,0.36195,54,822,2011,1,1,True,0.06569343065685439
2011-01-10,1,0,1,0,1,1,1,0.150833,0.482917,0.223267,41,1321,2011,1,0,False,0.03103709311125584
2011-01-11,1,0,1,0,2,1,2,0.169091,0.686364,0.122132,43,1263,2011,1,0,False,0.034045922406940585
2011-01-12,1,0,1,0,3,1,1,0.172727,0.599545,0.304627,25,1162,2011,1,0,False,0.021514629948346374
2011-01-13,1,0,1,0,4,1,1,0.165,0.470417,0.301,38,1406,2011,1,0,False,0.027027027027007804
2011-01-14,1,0,1,0,5,1,1,0.16087,0.537826,0.126548,54,1421,2011,1,0,False,0.03800140745950879
2011-01-15,1,0,1,0,6,0,2,0.233333,0.49875,0.157963,222,1248,2011,1,1,True,0.17788461538447284
2011-01-16,1,0,1,0,0,0,1,0.231667,0.48375,0.188433,251,1204,2011,1,1,True,0.20847176079716906
2011-01-17,1,0,1,1,1,0,2,0.175833,0.5375,0.194017,117,1000,2011,1,0,True,0.116999999999883
2011-01-18,1,0,1,0,2,1,2,0.216667,0.861667,0.146775,9,683,2011,1,0,False,0.01317715959002463
2011-01-19,1,0,1,0,3,1,2,0.292174,0.741739,0.208317,78,1650,2011,1,0,False,0.04727272727269862
2011-01-20,1,0,1,0,4,1,2,0.261667,0.538333,0.195904,83,1927,2011,1,0,False,0.04307213284896571
2011-01-21,1,0,1,0,5,1,1,0.1775,0.457083,0.353242,75,1543,2011,1,0,False,0.04860661049899637
2011-01-22,1,0,1,0,6,0,1,0.0591304,0.4,0.17197,93,981,2011,1,1,True,0.09480122324149358
2011-01-23,1,0,1,0,0,0,1,0.0965217,0.436522,0.2466,150,986,2011,1,1,True,0.15212981744406479
2011-01-24,1,0,1,0,1,1,1,0.0973913,0.491739,0.15833,86,1416,2011,1,0,False,0.060734463276793264
2011-01-25,1,0,1,0,2,1,2,0.223478,0.616957,0.129796,186,1985,2011,1,0,False,0.09370277078080921
2011-01-26,1,0,1,0,3,1,3,0.2175,0.8625,0.29385,34,506,2011,1,0,False,0.06719367588919527
2011-01-27,1,0,1,0,4,1,1,0.195,0.6875,0.113837,15,431,2011,1,0,False,0.03480278422265707
2011-01-28,1,0,1,0,5,1,2,0.203478,0.793043,0.1233,38,1167,2011,1,0,False,0.03256212510708435
2011-01-29,1,0,1,0,6,0,1,0.196522,0.651739,0.145365,123,1098,2011,1,1,True,0.11202185792339525
2011-01-30,1,0,1,0,0,0,1,0.216522,0.722174,0.0739826,140,1096,2011,1,1,True,0.12773722627725573
2011-01-31,1,0,1,0,1,1,2,0.180833,0.60375,0.187192,42,1501,2011,1,0,False,0.02798134576946837
